%EASTINGS(m) NORTHINGS(m)
%EuropeCoastLine (1:2,000000)
nan nan
1201361.8 -622253.2
1201208.9 -622569.6
1201008.7 -622891.7
1200859.7 -623240.5
1200604.4 -623503.2
1200400.3 -623792.7
1200121.3 -624058.1
1199783.4 -624231.6
1199370.7 -624380.9
1198981.5 -624527.4
1198568.7 -624676.7
1198128.3 -624796.2
1197739.1 -624942.7
1197377.5 -625118.8
1197039.3 -625292.0
1196760.3 -625557.3
1196371.0 -625703.6
1196032.8 -625876.7
1195564.9 -625966.4
1195045.9 -626029.1
1194605.4 -626148.3
1194192.5 -626297.4
1193748.2 -626384.1
1193358.8 -626530.2
1192949.8 -626711.7
1192556.5 -626825.2
1192167.1 -626971.2
1191832.8 -627176.8
1191474.8 -627385.2
1191211.2 -627582.1
1190959.4 -627876.9
1190679.9 -628141.9
1190471.3 -628398.3
1190113.2 -628606.6
1189645.1 -628695.8
1189243.9 -628743.8
1188870.4 -628623.3
1188457.5 -628573.4
1187934.3 -628603.0
1187548.7 -628781.4
1187135.5 -628929.9
1186746.0 -629075.6
1186411.4 -629280.8
1186018.0 -629393.9
1185683.4 -629599.1
1185348.7 -629804.3
1185065.2 -630036.4
1184758.0 -630271.3
1184474.4 -630503.4
1184265.5 -630759.7
1184013.2 -631054.0
1183863.2 -631402.5
1183685.5 -631721.1
1183405.7 -631985.8
1182937.4 -632074.4
1182481.0 -632062.4
1182068.0 -632012.2
1181588.1 -632003.0
1181092.3 -632061.7
1180678.9 -632209.9
1180395.1 -632441.8
1180189.8 -632730.4
1179988.4 -633051.7
1179838.0 -633400.0
1179499.2 -633572.3
1179160.4 -633744.4
1178856.7 -634011.7
1178651.3 -634300.2
1178186.6 -634421.1
1177663.2 -634449.8
1177305.1 -634458.9
1176888.3 -634375.8
1176475.3 -634325.3
1176062.4 -634274.7
1175645.6 -634191.4
1175212.9 -634176.3
1174796.1 -634093.0
1174422.8 -633971.6
1174009.8 -633920.8
1173593.1 -633837.6
1173160.5 -633822.2
1172704.2 -633809.6
1172291.4 -633758.8
1171811.5 -633748.8
1171292.0 -633809.6
1170796.2 -633867.5
1170382.6 -634014.9
1170047.5 -634219.2
1169708.5 -634390.9
1169424.3 -634622.2
1169194.9 -634913.3
1168859.7 -635117.6
1168469.6 -635262.1
1167950.1 -635322.5
1167426.7 -635350.4
1166930.8 -635408.0
1166879.8 -635380.9
nan nan
1166832.5 -635386.3
1166707.8 -635136.5
1166477.3 -634799.9
1166175.0 -634669.9
1165766.0 -634651.3
1165258.8 -634611.0
1164779.0 -634600.5
1164467.3 -634801.8
1164234.1 -635060.0
1163980.8 -635353.6
1163720.1 -635581.9
1163404.6 -635750.6
1163038.0 -635892.1
1162839.6 -636245.2
1162845.0 -636707.0
1162874.1 -637166.1
